team1,team1_bpi,team2,team2_bpi,team1_points,team2_points,points_difference,offensive_efficiency_team1,offensive_efficiency_team2,offensive_efficiency_difference,defensive_efficiency_team1,defensive_efficiency_team2,defensive_efficiency_difference,team1_tempo,team2_tempo,tempo_difference,team1_efgpct,team2_efgpct,efgpct_difference,team1_experience,team2_experience,experience_difference,team1_rating,team2_rating,rating_difference,team1_winner,team2_winner
USC Trojans,57,Maryland Terrapins,13,71,88,17,116.70,118.50,1.80,104.20,93.70,10.50,68.62,70.08,1.46,54.22,54.50,0.28,2.53,2.14,0.39,12.5,24.8,12.3,0,1
Michigan State Spartans,11,Michigan Wolverines,32,75,62,7,118.10,117.10,1.00,91.20,96.00,4.80,67.80,69.84,2.04,50.96,55.62,4.66,1.62,2.24,0.62,26.9,21.1,5.8,1,0
Marquette Golden Eagles,18,Villanova Wildcats,41,66,81,15,118.30,119.70,1.40,95.70,104.60,8.90,67.56,63.20,4.36,52.26,55.41,3.15,2.05,2.87,0.82,22.6,15.1,7.5,0,1
Georgia Bulldogs,38,Auburn Tigers,3,70,82,12,115.50,130.70,15.20,96.60,93.10,3.50,66.79,68.56,1.77,52.49,56.05,3.55,1.87,2.79,0.92,18.9,37.6,18.7,0,1
Duke Blue Devils,1,Illinois Fighting Illini,22,110,67,43,128.90,121.90,7.00,89.80,97.70,7.90,66.06,71.57,5.51,57.66,52.13,5.54,1.93,1.07,0.86,39.1,24.2,14.9,1,0
Kentucky Wildcats,14,Alabama Crimson Tide,6,83,96,13,125.30,127.30,2.00,100.90,97.90,3.00,70.82,75.00,4.18,56.17,56.57,0.40,3.09,2.99,0.10,24.4,29.4,5,0,1
Iowa State Cyclones,7,Houston Cougars ,2,59,68,7,119.50,124.90,5.40,93.10,89.50,3.60,68.94,61.18,7.76,54.22,53.21,1.01,2.82,2.63,0.19,26.4,35.4,9,0,1
Tennessee Volunteers,5,Texas A&M Aggies,23,77,69,8,118.60,115.90,2.70,87.20,93.00,5.80,63.93,66.77,2.85,52.49,47.60,4.89,2.92,2.97,0.04,31.4,22.9,8.5,1,0
West Virginia Mountaineers,48,Texas Tech Red Raiders,8,51,73,22,110.20,124.30,14.10,94.60,96.70,2.10,64.38,65.85,1.47,49.97,55.64,5.67,2.14,2.67,0.53,15.6,27.6,12,0,1
Oregon Ducks,37,Wisconsin Badgers,19,77,73,4,117.80,124.00,6.20,98.20,97.30,0.90,68.10,67.70,0.40,52.36,54.95,2.58,2.69,2.62,0.07,19.6,26.7,7.1,1,0
